[Header],,,,,,,,
IEMFileVersion,4,,,,,,,
SheetType,tellseq_metag,,,,,,,
SheetVersion,10,,,,,,,
Investigator Name,Knight,,,,,,,
Experiment Name,RKL_experiment,,,,,,,
Date,2025-08-14,,,,,,,
Workflow,GenerateFASTQ,,,,,,,
Application,FASTQ Only,,,,,,,
Assay,Metagenomic,,,,,,,
Description,,,,,,,,
Chemistry,Default,,,,,,,
,,,,,,,,
[Reads],,,,,,,,
151,,,,,,,,
151,,,,,,,,
,,,,,,,,
[Settings],,,,,,,,
ReverseComplement,0,,,,,,,
,,,,,,,,
[Data],,,,,,,,
Sample_ID,Sample_Name,Sample_Plate,well_id_384,barcode_id,Sample_Project,Well_description,Lane,
sample_1,sample.1,A1,False,C501,MyProject_99999,A1.sample.1.False,1,
sample_2,sample.2,A2,False,C509,MyProject_99999,A2.sample.2.False,1,
sample_3,sample.3,A3,False,C520,MyProject_99999,A3.sample.3.False,1,
,,,,,,,,
[Bioinformatics],,,,,,,,
Sample_Project,QiitaID,BarcodesAreRC,ForwardAdapter,ReverseAdapter,HumanFiltering,library_construction_protocol,experiment_design_description,contains_replicates
MyProject_99999,99999,True,AACC,GGTT,False,some protocol,some description,False
,,,,,,,,
[Contact],,,,,,,,
Sample_Project,Email,,,,,,,
MyProject_99999,foo@bar.org,,,,,,,
,,,,,,,,
[SampleContext],,,,,,,,
sample_name,sample_type,primary_qiita_study,secondary_qiita_studies,,,,,
sample.3,control blank,99999,,,,,,
,,,,,,,,
